#datatype measurement,tag,dateTime:RFC3339,string,double,double,double,double,double,double,double
name,LCLid,day,day_2,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-01T00:00:00Z,0.1305,0.22118750000000006,1023,48,0.2236982823862382,10617000000000000,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-02T00:00:00Z,0.1205,0.21591666666666676,0.7240000000000001,48,0.22254158906875865,10364000000000000,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-03T00:00:00Z,0.094,0.22091666666666668,0.769,48,0.232646461151948,10604,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-04T00:00:00Z,0.11100000000000003,0.2447083333333333,0.7509999999999999,48,0.24852132562575016,11746,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-05T00:00:00Z,0.0675,0.22372916666666667,0.8009999999999999,48,0.25753394649888545,10739,0.058
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-06T00:00:00Z,0.14500000000000002,0.3075833333333333,0.87,48,0.2763676115929446,14763999999999900,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-07T00:00:00Z,0.1315,0.2893125020833334,14220001,48,0.29668310119168056,13887000100000000,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-08T00:00:00Z,0.1205,0.2458333333333333,1072,48,0.2584679356494056,45149,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-09T00:00:00Z,0.2045,0.3537291666666667,0.727,48,0.26462142686626416,16979000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-10T00:00:00Z,0.101,0.2906875020833333,14400001,48,0.3215380769736038,139530001,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-11T00:00:00Z,0.1155,0.2632708333333333,0.797,48,0.25467148129801426,12637,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-12T00:00:00Z,0.1175,0.2740416666666667,0.95,48,0.2808421952849719,13154000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-13T00:00:00Z,0.0785,0.22172916666666667,0.7979999999999999,48,0.23579911569171105,10642999999999900,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-14T00:00:00Z,0.14400000000000002,0.3144166666666666,1104,48,0.2806373319014019,15092,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-15T00:00:00Z,0.135,0.23206250000000006,0.955,48,0.24060786551318,11139,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-16T00:00:00Z,0.1365,0.3261041666666666,1036,48,0.3139653890386397,15652999999999900,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-17T00:00:00Z,0.1315,0.2908541666666667,0.833,48,0.26883491648722835,13961000000000000,0.057
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-18T00:00:00Z,0.10800000000000001,0.25722916666666673,45261,48,0.2626895457171412,12347000000000000,0.056
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-19T00:00:00Z,0.10800000000000001,0.2802291666666667,1044,48,0.2884913243714421,13450999999999900,0.058
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-20T00:00:00Z,0.0915,0.20281250000000006,0.736,48,0.2152191022378941,9735000000000000,0.057
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-21T00:00:00Z,0.1265,0.2477291666666667,14509999999999900,48,0.2950282885523002,11891000000000000,0.057
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-22T00:00:00Z,0.13699999999999998,0.2843333333333333,1097,48,0.2870406845900578,13647999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-23T00:00:00Z,0.14650000000000002,0.2747291666666667,0.857,48,0.2529574633809839,13187,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-24T00:00:00Z,0.109,0.22570833333333334,0.968,48,0.2369653855980472,10834,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-25T00:00:00Z,0.1175,0.27241666666666664,1204,48,0.3180187893106474,13076,0.059
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-26T00:00:00Z,0.138,0.2723125,1018,48,0.2646554690295178,13071000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-27T00:00:00Z,0.094,0.1849791666666667,0.789,48,0.20702785192246767,8879000000000000,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-28T00:00:00Z,0.08850000000000001,0.1332916666666667,0.687,48,0.12580920345411484,63980000000000000,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-29T00:00:00Z,0.11699999999999999,0.21225,45139,48,0.2327993840015247,10188,0.058
energy,MAC000131,2023-06-01T00:00:00Z,2012-04-30T00:00:00Z,0.1405,0.2826458333333333,1598,48,0.33434944705835384,13566999999999900,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-01T00:00:00Z,0.1185,0.26668749791666674,10319999,48,0.2761312576971209,12800999900000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-02T00:00:00Z,0.131,0.24079166666666665,0.738,48,0.2344520963032596,11557999999999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-03T00:00:00Z,0.154,0.3049166666666666,0.88,48,0.27357202430487937,14635999999999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-04T00:00:00Z,0.1015,0.20281250000000006,0.711,48,0.21198721923036126,9735000000000000,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-05T00:00:00Z,0.0885,0.19193750000000007,0.923,48,0.2125663256942381,9213000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-06T00:00:00Z,0.11800000000000001,0.2070833333333333,0.956,48,0.2293985506394079,34578,0.059
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-07T00:00:00Z,0.326,0.3732916666666668,0.778,48,0.2825600262594062,17918000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-08T00:00:00Z,0.1035,0.21975000000000006,0.8590000000000001,48,0.2420466369691699,10548000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-09T00:00:00Z,0.10649999999999997,0.2621041687499999,10700001,48,0.2930177048149445,12581000099999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-10T00:00:00Z,0.1405,0.2864375,1033,48,0.2734074121744231,13749,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-11T00:00:00Z,0.119,0.2312083333333333,0.746,48,0.2363975157673889,11097999999999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-12T00:00:00Z,0.1235,0.183,0.908,48,0.1986055644053458,8783999999999990,0.067
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-13T00:00:00Z,0.1385,0.22375000000000006,0.98,48,0.22789447912799746,10740000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-14T00:00:00Z,0.16999999999999998,0.32279166666666664,1025,48,0.2779226861980614,15494000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-15T00:00:00Z,0.1235,0.2607708312500001,10319999,48,0.2868581206472889,12516999900000000,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-16T00:00:00Z,0.1225,0.23666666666666664,0.79,48,0.2363159022870845,13455,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-17T00:00:00Z,0.12,0.29897916666666674,1044,48,0.3096430676504346,14351000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-18T00:00:00Z,0.103,0.2323333333333333,0.7859999999999999,48,0.2386071580789747,11151999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-19T00:00:00Z,0.11599999999999999,0.16518750000000004,0.6990000000000001,48,0.16808035771301824,7929000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-20T00:00:00Z,0.1335,0.24522916666666664,0.737,48,0.2303412121719053,11771,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-21T00:00:00Z,0.2735,0.35918750000000005,0.79,48,0.2715216896042228,17241000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-22T00:00:00Z,0.112,0.15362499999999998,0.7390000000000001,48,0.15623653984576952,7373999999999990,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-23T00:00:00Z,0.1115,0.13174999999999998,0.28800000000000003,48,0.06911923093543781,6323999999999990,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-24T00:00:00Z,0.1145,0.14181249999999998,0.7120000000000001,48,0.12017339533694014,6807,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-25T00:00:00Z,0.117,0.15704166666666666,0.865,48,0.1377135414675917,75379999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-26T00:00:00Z,0.117,0.1482083333333333,0.6709999999999999,48,0.10783714244535664,7113999999999990,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-27T00:00:00Z,0.1175,0.1346875,0.281,48,0.06192828943152631,6465,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-28T00:00:00Z,0.108,0.13020833333333331,0.344,48,0.06407308271870503,6249999999999990,0.069
energy,MAC000131,2023-06-01T00:00:00Z,2012-05-29T00:00:00Z,0.124,0.13316666666666666,0.28600000000000003,48,0.061423307425076526,6391999999999990,0.061
